,Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,Capital intensive business,Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums talking about company/Model,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Survival through recession,Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
12,Company13,1,2010.0,4.0,115.0,Human insight at machine scale,Media|Finance|Marketing,"Marketing 
sales",Battery Ventures|In-Q-Tel|Jump Capital|SAP Ventures|Northwestern University,47.0,7.0,No,2010-01-01,2013-09-10,11500000.0,United States,North America,0.0,0.0,0,1,8,50.0,No,1.0,high,No,Medium,Yes,Yes,No,Yes,Product,Yes,Private,Yes,Structured,0,Cloud,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,No,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18.0,Law,Yes,Yes,,500.0,3,1.0,0.0,0.0,,0.0,Few,0.0,High,Medium,Yes,No,Low,Good,No,Yes,Yes,Yes,No,No,0,172054.0,No,Yes,No,3.0,Medium,0.0,16.6,11.5,Not Applicable,12.0,6.0,Trigger,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Company14,1,2008.0,6.0,277.0,Analytics for the Music Industry,Music|Analytics,Technology,Foundry Group|SoftTech VC|Troy Henikoff|David Cohen|Alsop Louie Partners|David Cancel|IA Ventures|TechStars|Techstars,22.0,0.0,No,2008-06-20,2012-01-03,6500000.0,United States,North America,0.0,0.0,3,0,6,22.0,No,0.0,low,No,Large,Yes,No,Yes,Yes,Product,No,Public,Yes,Both,1,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,Low,Bachelors,18.0,"Learning and Organizational Change
Computer Science",Yes,Yes,Tier_1,500.0,2,0.0,0.0,1.0,Medium,1.0,,20.5,Medium,Medium,Yes,No,Low,,,No,Yes,No,No,No,0,99081.0,Yes,Yes,Yes,3.0,Medium,0.0,4.4,6.5,Yes,14.0,7.333333333,Trigger,5 to 10,8.333333333,0.0,50.0,16.66666667,0.0,12.5,4.166666667,4.166666667,4.166666667,0.0,0.0,0.0,0.0,0.0,0.0
14,Company15,1,2010.0,4.0,242.0,Advanced predictive analytics,E-Commerce|Gaming|Analytics,"marketing, sales",Harvard Business School Angels|Tech Coast Angels,13.0,0.0,No,2010-01-01,2013-11-11,2800000.0,United States,North America,0.0,2.0,2,0,5,50.0,No,0.0,high,No,Medium,No,No,No,No,Product,Yes,Public,Yes,Both,0,Platform,Local,Non-Linear,No,Few,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,PhD,25.0,Communication,Yes,Yes,Tier_1,500.0,2,0.0,0.0,0.0,High,1.0,Few,22.5,High,Medium,Yes,No,Low,,Yes,Yes,Yes,No,No,No,0,713494.0,Yes,Yes,No,3.0,Medium,0.0,16.6,2.8,Not Applicable,48.0,48.0,,,13.33333333,0.0,6.666666667,60.0,0.0,13.33333333,6.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,Company16,1,2008.0,6.0,533.0,Healthcare Data,Healthcare|Analytics,Data Management,Norwest Venture Partners|Sequoia Capital|Sorenson Capital|Kaiser Permanente Ventures|CHV Capital,129.0,8.0,Yes,2008-01-01,2014-01-27,41000000.0,United States,North America,0.0,0.0,2,0,8,200.0,No,0.0,high,No,,No,No,No,No,Both,No,Public,Yes,Both,0,Platform,Global,Non-Linear,Yes,Few,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Business management,Yes,Yes,Tier_1,500.0,3,0.0,1.0,0.0,Low,9.0,Few,21.0,High,Medium,Yes,No,Low,Bad,Yes,No,Yes,Yes,No,No,3,289041.0,Yes,Yes,No,3.0,Medium,0.0,40.0,41.0,Yes,38.0,8.0,Peak,2 to 5,11.11111111,5.555555556,5.555555556,0.0,11.11111111,11.11111111,27.77777778,0.0,11.11111111,5.555555556,0.0,0.0,5.555555556,5.555555556,5.0
16,Company17,1,2010.0,4.0,-81.0,Big Data Analytics,Analytics,Marketing,Hummer Winblad Venture Partners|US Venture Partners|Presidio Ventures|Mohr Davidow Ventures,23.0,0.0,No,2010-01-01,2012-12-14,3499999.0,United States,North America,0.0,3.0,1,0,7,50.0,No,2.0,high,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,0,Platform,Local,Non-Linear,Yes,Many,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Masters,21.0,Computer Science,Yes,Yes,Tier_1,417.0,3,0.0,0.0,0.0,,1.0,Few,12.0,Medium,Medium,Yes,No,Low,Good,No,Yes,Yes,No,No,No,0,1939943.0,Yes,Yes,No,3.0,Medium,0.0,16.6,3.499999,Not Applicable,3.0,11.06666667,Slope,2 to 5,8.333333333,0.0,58.33333333,0.0,0.0,0.0,25.0,0.0,0.0,8.333333333,0.0,0.0,0.0,0.0,2.0
17,Company18,1,2009.0,5.0,471.0,Marketing Intelligence Platform,Marketing,Marketing & Sales,Sequoia Capital|Giza Venture Capital|Adams Street Partners,52.0,-4.0,No,2009-06-01,2013-10-17,10000000.0,United States,North America,0.0,0.0,3,0,8,50.0,No,2.0,low,No,Small,No,No,No,No,Both,Yes,Both,Yes,Both,0,Platform,Global,Non-Linear,No,Few,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Communication,Yes,Yes,Tier_2,500.0,3,0.0,0.0,0.0,Low,0.0,Few,4.5,High,Medium,Yes,No,Low,Good,,Yes,Yes,No,No,No,3,276491.0,Yes,Yes,No,4.0,High,0.0,12.5,10.0,Not Applicable,30.0,12.61666667,Trough,2 to 5,20.0,0.0,20.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Company19,1,2002.0,12.0,47.0,water management solutions,,Solution providing,Firelake Capital Management|RockPort Capital Partners|Chrysalis Ventures|Monitor Ventures|Shea Ventures,46.0,2.0,Yes,2002-01-01,2012-12-14,750000.0,United States,North America,0.0,3.0,0,0,8,200.0,No,0.0,medium,Yes,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,0,Platform,Local,Non-Linear,Yes,Many,No,No,Yes,No,No,No,No,No,Yes,No,Online,B2B,Low,High,Yes,High,Masters,21.0,economics,Yes,Yes,Tier_1,500.0,2,0.0,0.0,0.0,,0.0,Few,18.5,High,High,Yes,No,High,,No,Yes,No,Yes,No,No,3,3341960.0,Yes,Yes,No,4.0,High,0.0,18.18,0.75,Yes,35.0,24.625,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
20,Company21,1,2010.0,4.0,70.0,Internet Company,Marketing,Marketing,,27.0,0.0,Yes,2010-01-01,2011-05-06,5000000.0,United States,North America,0.0,1.0,2,0,5,26.0,No,0.0,medium,Yes,Medium,Yes,No,No,No,Both,Yes,Private,Yes,Structured,0,Cloud,Global,Non-Linear,No,,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Offline,B2B,High,High,Yes,Low,Bachelors,18.0,Computer Science,Yes,Yes,,410.0,3,1.0,1.0,1.0,High,56.0,,22.0,Medium,Medium,Yes,No,Low,Good,Yes,Yes,No,No,No,No,2,1246836.0,Yes,No,No,4.0,Medium,0.0,8.6,5.0,Not Applicable,15.0,15.0,Slope,2 to 5,5.555555556,0.0,27.77777778,11.11111111,0.0,16.66666667,27.77777778,5.555555556,0.0,5.555555556,0.0,0.0,0.0,0.0,7.0
22,Company23,1,2012.0,2.0,245.0,Marketing intelligence solutions,Analytics,Marketing,Accel Partners|Lightspeed Venture Partners|Elad Gil|Jafco Ventures,32.0,3.0,Yes,2012-01-01,2014-01-29,15000000.0,United States,North America,0.0,0.0,3,8,3,33.0,Yes,2.0,high,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,0,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,Yes,No,No,Offline,B2B,High,High,Yes,Medium,Masters,21.0,Computer Science,Yes,Yes,Tier_2,500.0,0,1.0,1.0,1.0,High,58.0,,17.0,High,Medium,No,Yes,Low,Bad,Yes,No,No,Yes,No,No,3,761788.0,No,No,No,3.0,Medium,0.0,33.0,15.0,Not Applicable,10.0,7.366666667,Peak,2 to 5,8.088235294,0.0,17.89215686,1.960784314,2.083333333,8.088235294,14.21568627,4.044117647,4.044117647,4.166666667,0.0,0.0,0.0,2.083333333,9.0
24,Company25,1,2012.0,2.0,373.0,Smart Data for Better Places,Mobile|Retail,Community Betterment,TechStars|MI Ventures LLC|NEA Venture Capital|TriplePoint Capital|Kima Ventures|Correlation Ventures|Scrum Ventures,3.0,0.0,Yes,2012-03-01,2013-11-01,1700000.0,United States,North America,1.0,0.0,2,0,2,3.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Service,Yes,Public,No,Both,1,Platform,Local,Linear,Yes,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Online,B2C,High,High,Yes,Medium,PhD,25.0,Image Processing,Yes,Yes,,500.0,0,0.0,0.0,0.0,High,81.0,Many,40.0,Low,Low,No,Yes,Medium,Bad,Yes,Yes,Yes,No,No,No,3,642250.0,Yes,No,No,3.0,High,5.0,3.0,1.7,Not Applicable,14.0,3.55,Peak,2 to 5,11.4379085,0.0,20.58823529,11.11111111,2.941176471,5.718954248,25.65359477,2.777777778,11.2745098,2.777777778,0.0,0.0,0.0,5.718954248,3.0
26,Company27,1,2009.0,5.0,155.0,Investing tools made simple,Analytics|Finance,Strategy,Long Light Capital|Continuity Capital,5.0,0.0,Yes,2009-01-01,2013-12-12,1400000.0,United States,North America,0.0,0.0,3,0,3,6.0,No,0.0,low,No,Medium,No,No,Yes,No,Service,Yes,Private,No,Unstructured,0,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,No,No,Yes,Yes,Online,B2B,,Medium,No,Low,Bachelors,18.0,Arts,No,No,Both,307.0,0,1.0,1.0,1.0,Medium,67.0,Many,0.0,Low,Low,No,No,Medium,Good,No,Yes,Yes,Yes,No,No,3,2497831.0,No,No,Yes,4.0,High,0.0,1.5,1.4,Not Applicable,48.0,48.0,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Company31,1,2012.0,2.0,421.0,web analytics api,Marketing|Software Development|Analytics,Data Integration,New Enterprise Associates|General Catalyst Partners|Y Combinator|Tom McInerney,7.0,0.0,No,,2013-01-15,600000.0,United States,North America,2.0,0.0,4,0,4,50.0,No,0.0,medium,No,Small,No,No,No,No,Service,Yes,Private,No,Both,1,Platform,Global,Linear,Yes,,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,Low,No,Low,Bachelors,18.0,Aerospace Engineering,No,No,Tier_1,500.0,0,0.0,0.0,0.0,Low,58.0,Many,13.0,Low,Low,Yes,No,Medium,Good,No,Yes,No,No,No,No,3,38021.0,Yes,Yes,Yes,4.0,High,0.0,25.0,0.6,Not Applicable,1.0,1.0,,,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
31,Company32,1,2008.0,6.0,-91.0,Business Logic Abuse Fraud Protection ,Security,malware protection,Leapfrog Ventures|Seraph Group|Startup Capital Ventures|Andreessen Horowitz|Citi Ventures,39.0,-7.0,No,2008-01-08,2011-09-22,,United States,North America,0.0,1.0,2,0,7,35.0,Yes,3.0,Nothing,Yes,Large,Yes,No,No,No,Service,No,Private,No,Both,1,Platform,Local,Linear,Yes,,No,No,Yes,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,PhD,25.0,Computer Science,Yes,Yes,Tier_2,500.0,3,0.0,1.0,1.0,High,120.0,Many,16.0,High,High,Yes,No,Medium,Good,Yes,Yes,Yes,Yes,No,No,3,,Yes,No,Yes,4.0,High,0.0,7.0,,Yes,8.0,12.12222222,Trigger,5 to 10,9.444444444,2.777777778,50.0,0.0,3.333333333,12.77777778,12.77777778,0.0,0.0,2.777777778,6.111111111,0.0,0.0,0.0,4.0
